"PLT_CN","SHORT","PLOT","SUBP","INVYR","TREE","SPCD","DIA","HT","TPA_UNADJ","agb_gm2","topSICOND","topSTDAGE","gesp","H_assigned","b1","b2","b3","b4","b5","calc_age","calcAgeCut","ageBin","ageBinAdj"
"52967848010538","0023200205040702502686",2686,2,2002,9,375,5.6,64,6.018046,85.3407426784301,42,97,"BEPA",64,1.7902,0.9522,-0.0173,1.1668,-0.1206,222,"(175,285]",175,145
"52967848010538","0023200205040702502686",2686,2,2002,10,318,6,63,6.018046,127.050199568981,42,97,"ACSA",63,3.3721,0.8407,-0.015,2.6208,-0.2661,108,"(100,125]",125,125
"52967848010538","0023200205040702502686",2686,2,2002,11,318,5.5,61,6.018046,93.3844948823116,42,97,"ACSA",61,3.3721,0.8407,-0.015,2.6208,-0.2661,99,"(75,100]",100,100
"52967848010538","0023200205040702502686",2686,2,2002,12,371,5.3,51,6.018046,74.9434039336781,42,97,"BEAL",51,2.2835,0.9794,-0.0054,0.5819,-0.0281,79,"(75,100]",100,100
"52967848010538","0023200205040702502686",2686,2,2002,13,316,11.8,71,6.018046,621.682967825979,42,97,"ACRU",71,2.9435,0.9132,-0.0141,1.658,-0.1095,118,"(100,125]",125,125
"52967848010538","0023200205040702502686",2686,2,2002,14,316,14.8,72,6.018046,1062.48525555612,42,97,"ACRU",72,2.9435,0.9132,-0.0141,1.658,-0.1095,122,"(100,125]",125,125
"52967848010538","0023200205040702502686",2686,2,2002,15,318,5,54,6.018046,64.4320704972239,42,97,"ACSA",54,3.3721,0.8407,-0.015,2.6208,-0.2661,77,"(75,100]",100,100
"52967848010538","0023200205040702502686",2686,3,2002,1,371,10.7,61,6.018046,539.903298224199,42,97,"BEAL",61,2.2835,0.9794,-0.0054,0.5819,-0.0281,124,"(100,125]",125,125
"52967848010538","0023200205040702502686",2686,3,2002,2,371,14.5,65,6.018046,1065.59338256536,42,97,"BEAL",65,2.2835,0.9794,-0.0054,0.5819,-0.0281,148,"(125,175]",175,175
"52967848010538","0023200205040702502686",2686,3,2002,4,371,10.7,51,6.018046,300.541739944323,42,97,"BEAL",51,2.2835,0.9794,-0.0054,0.5819,-0.0281,79,"(75,100]",100,100
"52967848010538","0023200205040702502686",2686,3,2002,5,371,7.9,50,6.018046,114.058838420994,42,97,"BEAL",50,2.2835,0.9794,-0.0054,0.5819,-0.0281,75,"(50,75]",75,75
"52967848010538","0023200205040702502686",2686,3,2002,6,318,9.2,56,6.018046,421.701573868591,42,97,"ACSA",56,3.3721,0.8407,-0.015,2.6208,-0.2661,82,"(75,100]",100,100
"52967848010538","0023200205040702502686",2686,3,2002,7,97,7.6,45,6.018046,142.471154961187,42,97,"PIRU",45,1.3307,1.0442,-0.0496,3.5829,0.0945,53,"(50,75]",75,75
"52967848010538","0023200205040702502686",2686,3,2002,8,94,8.8,45,6.018046,181.449799595844,42,97,"PIGL",45,4.4803,0.7382,-0.0289,26.6132,-0.6461,61,"(50,75]",75,75
"52967848010538","0023200205040702502686",2686,3,2002,9,371,11.9,63,6.018046,699.247685759398,42,97,"BEAL",63,2.2835,0.9794,-0.0054,0.5819,-0.0281,136,"(125,175]",175,175
"52967848010538","0023200205040702502686",2686,3,2002,10,371,17.6,66,6.018046,1725.04580327134,42,97,"BEAL",66,2.2835,0.9794,-0.0054,0.5819,-0.0281,155,"(125,175]",175,175
